SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS00001,Kandamanur,Kandamanur,51,51,IN_TN,WIND,INTRA_STATE,,
SS00002,Kalamangi,Kalamangi,24,24,IN_KA,WIND,INTRA_STATE,,
SS00003,Sidenur,Sidenur,31.5,31.5,IN_KA,WIND,INTRA_STATE,,
SS00004,Tadipatri,Tadipatri,50.4,50.4,IN_AP,WIND,INTRA_STATE,,
SS00013,Saundatti_Suzlon,Saundatti,10.5,10.5,IN_KA,WIND,INTRA_STATE,,
SS00014,Raybag,Raybag,100.3,100.3,IN_KA,WIND,INTRA_STATE,,
SS00015,Yelisur,Yelisur,69.7,69.7,IN_KA,WIND,INTRA_STATE,,
SS00016,Vijayapathi_Koodankulam,Vijayapathi_Koodankulam,56.5,56.5,IN_TN,WIND,INTRA_STATE,,
SS00017,Amuthapuram,Amuthapuram,77.7,77.7,IN_TN,WIND,INTRA_STATE,,
SS00026,Rastha,Rastha,25.2,25.2,IN_TN,WIND,INTRA_STATE,,
SS00027,Sadayapalayam,Sadayapalayam,51,51,IN_TN,WIND,INTRA_STATE,,
SS00030,Yalakuranahalli,Yalakuranahalli,36,36,IN_KA,WIND,INTRA_STATE,,
SS00031,Alangulam,Alangulam,22.5,22.5,IN_TN,WIND,INTRA_STATE,,
SS00033,Paruthiyur_Mytrah,Paruthiyur_Mytrah,100.5,100.5,IN_TN,WIND,INTRA_STATE,,
SS00036,Odwara_Renew,Odwara_Renew,51,51,IN_RJ,WIND,INTRA_STATE,,
SS00037,Bhatkheda,Bhatkheda,170,170,IN_MP,WIND,INTRA_STATE,0.15,Daily
SS00039,Nanimatli,Nanimatli,24.5,24.5,IN_GJ,WIND,INTRA_STATE,0.12,
SS00040,Gudagon,Gudagon,28,28,IN_MP,WIND,INTRA_STATE,,
SS00041,Afzalpur,Afzalpur,15,15,IN_MP,WIND,INTRA_STATE,,
SS00042,Kuchdod,Kuchdod,15,15,IN_MP,WIND,INTRA_STATE,,
SS00043,Thirumalayapalli,Thirumalayapalli,94.5,94.5,IN_AP,WIND,INTRA_STATE,,
SS00045,Dalot_Greenko,Dalot_Greenko,28.5,28.5,IN_RJ,WIND,INTRA_STATE,,
SS00046,Khachrod,Sandla_I,14.7,14.7,IN_MP,WIND,INTRA_STATE,,
SS00049,Bap_Terraform,Bap_Terraform,4.5,5,IN_RJ,SOLAR,INTRA_STATE,,
SS00050,Sawreej,Sawreej,20,24,IN_RJ,SOLAR,INTRA_STATE,,
SS00051,BADISID_TERRAFORM,BADISID_TERRAFORM,30,39,IN_RJ,SOLAR,INTRA_STATE,0.15,Daily
SS00052,Sitamau_Volta,Sitamau_Volta,20,26,IN_MP,SOLAR,INTRA_STATE,,
SS00053,Sitamau_Sitara,Sitamau_Sitara,30,31,IN_MP,SOLAR,INTRA_STATE,,
SS00055,Sitamau_Photovoltaic,Sitamau_Photovoltaic,10,11.5,IN_MP,SOLAR,INTRA_STATE,,
SS00056,Tagguparthy_2,Deddukunta,100,100,IN_AP,WIND,INTRA_STATE,,
SS00057,Jamgodhrani,Jamgodhrani,30,30,IN_MP,WIND,INTRA_STATE,,
SS00059,PS3_WELSPUN,PS3_WELSPUN,50,55,IN_RJ,SOLAR,INTRA_STATE,,
SS00062,Neemuch,Neemuch,105,130,IN_MP,SOLAR,INTRA_STATE,,
SS00065,Musiri,Musiri,50,58.48,IN_TN,SOLAR,INTRA_STATE,,
SS00067,PRTAPGRH_WELSPUN_TATA,PRTAPGRH_WELSPUN_TATA,126,126,IN_RJ,WIND,INTRA_STATE,,
SS00068,Bitta,Bitta,40,40,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS00078,Borampalli,Borampalli_Blyth,25.6,25.6,IN_AP,WIND,INTRA_STATE,,
SS00079,Odwara_Greenko,Odwara_Greenko,13.5,13.5,IN_RJ,WIND,INTRA_STATE,,
SS00081,Lapatiya,Bercha-Lapatiya,50,50,IN_MP,WIND,INTRA_STATE,,
SS00093,Ghonsla,Ghonsla,30,30,IN_MP,WIND,INTRA_STATE,,
SS00094,Dhedpani,Dhedpani_Betul,49.5,49.5,IN_MP,WIND,INTRA_STATE,,
SS00096,Bherugarh,Bherugarh,30,30,IN_MP,WIND,INTRA_STATE,,
SS00097,Mandvi,Mandvi,15,15,IN_MP,WIND,INTRA_STATE,,
SS00098,Nagari,Nagari,15,15,IN_MP,WIND,INTRA_STATE,,
SS00099,Dhamnar,Dhamnar,15,15,IN_MP,WIND,INTRA_STATE,,
SS00115,Gorsar,Gorsar,25.5,25.5,IN_GJ,WIND,INTRA_STATE,0.12,
SS00118,Vasai,Vasai,30.75,30.75,IN_GJ,WIND,INTRA_STATE,0.12,
SS00121,Motagunda_Suzlon,Motagunda_Suzlon,130.2,130.2,IN_GJ,WIND,INTRA_STATE,0.12,
